"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subj_ID","group","value","button_pressed","correct","response","responses","question_order"
"null","<img src=""osf_files/Objects/lighter.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/injury_brokenleg.jpg"" style=""margin:20px"" />","null","html-keyboard-response","10","60273","0.0-2.0-0.8","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/garbagebag.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/war_skulls.jpg"" style=""margin:20px"" />","null","html-keyboard-response","11","66276","0.0-2.0-0.9","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/clock.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/injury_thin.jpg"" style=""margin:20px"" />","null","html-keyboard-response","12","72278","0.0-2.0-0.10","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/hat.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/death_burrial.JPG"" style=""margin:20px"" />","null","html-keyboard-response","13","78280","0.0-2.0-0.11","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/axe.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/animals_whale.jpg"" style=""margin:20px"" />","null","html-keyboard-response","14","84283","0.0-2.0-0.12","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/sunglasses.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/drugs_addictfloor.JPG"" style=""margin:20px"" />","null","html-keyboard-response","15","90286","0.0-2.0-0.13","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/trafficlight.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/fight_riotsstreetcorner.jpg"" style=""margin:20px"" />","null","html-keyboard-response","16","96289","0.0-2.0-0.14","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/duct.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/death_corpsestape.jpg"" style=""margin:20px"" />","null","html-keyboard-response","17","102291","0.0-2.0-0.15","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/necklace.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/fight_manthreatgirl.jpg"" style=""margin:20px"" />","null","html-keyboard-response","18","108294","0.0-2.0-0.16","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/trafficsign.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/death_hungbridge.jpg"" style=""margin:20px"" />","null","html-keyboard-response","19","114297","0.0-2.0-0.17","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/vase.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/sad_childgrave.jpg"" style=""margin:20px"" />","null","html-keyboard-response","20","120299","0.0-2.0-0.18","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/comb.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/disaster_dust.jpg"" style=""margin:20px"" />","null","html-keyboard-response","21","126302","0.0-2.0-0.19","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/bottle.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/dirt_toilet.JPG"" style=""margin:20px"" />","null","html-keyboard-response","22","132304","0.0-2.0-0.20","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/vest.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/disaster_flood.jpg"" style=""margin:20px"" />","null","html-keyboard-response","23","138307","0.0-2.0-0.21","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/bike.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/animals_leopard.jpg"" style=""margin:20px"" />","null","html-keyboard-response","24","144309","0.0-2.0-0.22","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/hanger.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/fight_policestorming.jpg"" style=""margin:20px"" />","null","html-keyboard-response","25","150312","0.0-2.0-0.23","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/newspaper2.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/death_hungman.jpg"" style=""margin:20px"" />","null","html-keyboard-response","26","156315","0.0-2.0-0.24","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/redflag.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/injury_doctors.JPG"" style=""margin:20px"" />","null","html-keyboard-response","27","162317","0.0-2.0-0.25","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/laundrybasket2.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/fight_riot.jpg"" style=""margin:20px"" />","null","html-keyboard-response","28","168320","0.0-2.0-0.26","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/dress.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/death_woman.jpg"" style=""margin:20px"" />","null","html-keyboard-response","29","174322","0.0-2.0-0.27","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/rug.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/death_policecorpse.jpg"" style=""margin:20px"" />","null","html-keyboard-response","30","180325","0.0-2.0-0.28","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/juice.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/sad_boycrying.jpg"" style=""margin:20px"" />","null","html-keyboard-response","31","186328","0.0-2.0-0.29","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/suitcase.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/disaster_couple.jpg"" style=""margin:20px"" />","null","html-keyboard-response","32","192329","0.0-2.0-0.30","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/garbagebin.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/fight_demolish.jpg"" style=""margin:20px"" />","null","html-keyboard-response","33","198332","0.0-2.0-0.31","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/brick.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/war_capture.jpg"" style=""margin:20px"" />","null","html-keyboard-response","34","204335","0.0-2.0-0.32","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/mug.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/hospital_mangrievinghospital.jpg"" style=""margin:20px"" />","null","html-keyboard-response","35","210338","0.0-2.0-0.33","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/doll.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/death_corpsesgirls.jpg"" style=""margin:20px"" />","null","html-keyboard-response","36","216341","0.0-2.0-0.34","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/socket.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/fight_robbery.jpg"" style=""margin:20px"" />","null","html-keyboard-response","37","222344","0.0-2.0-0.35","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/framedpicture.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/fight_manguns.jpg"" style=""margin:20px"" />","null","html-keyboard-response","38","228346","0.0-2.0-0.36","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/camcorder.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/hospital_camera.jpg"" style=""margin:20px"" />","null","html-keyboard-response","39","234349","0.0-2.0-0.37","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/bowl.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/hospital_baby.jpg"" style=""margin:20px"" />","null","html-keyboard-response","40","240350","0.0-2.0-0.38","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/cigarette.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/injury_beatenup.jpg"" style=""margin:20px"" />","null","html-keyboard-response","41","246352","0.0-2.0-0.39","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/ring.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/injury_bandage.jpg"" style=""margin:20px"" />","null","html-keyboard-response","42","252355","0.0-2.0-0.40","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/sneakers.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/fight_gang.JPG"" style=""margin:20px"" />","null","html-keyboard-response","43","258357","0.0-2.0-0.41","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/carton.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/dirt_garbage.jpg"" style=""margin:20px"" />","null","html-keyboard-response","44","264360","0.0-2.0-0.42","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/boot.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/accident_horse.jpg"" style=""margin:20px"" />","null","html-keyboard-response","45","270362","0.0-2.0-0.43","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/star2.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/fight_manbeatingwoman2.jpg"" style=""margin:20px"" />","null","html-keyboard-response","46","276365","0.0-2.0-0.44","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/microphone.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/accident_sportscar.jpg"" style=""margin:20px"" />","null","html-keyboard-response","47","282368","0.0-2.0-0.45","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/tie.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/disaster_peoplefleeing.jpg"" style=""margin:20px"" />","null","html-keyboard-response","48","288370","0.0-2.0-0.46","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/socks.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/injury_babyfire.jpg"" style=""margin:20px"" />","null","html-keyboard-response","49","294373","0.0-2.0-0.47","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/basket.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/death_ditch.jpg"" style=""margin:20px"" />","null","html-keyboard-response","50","300375","0.0-2.0-0.48","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/leaves.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/animals_starveddog.jpg"" style=""margin:20px"" />","null","html-keyboard-response","51","306378","0.0-2.0-0.49","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/skateboard.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/fight_kidsfight.jpg"" style=""margin:20px"" />","null","html-keyboard-response","52","312380","0.0-2.0-0.50","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/tv.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/sad_mantv.JPG"" style=""margin:20px"" />","null","html-keyboard-response","53","318382","0.0-2.0-0.51","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/bench.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/accident_planecrash2.jpg"" style=""margin:20px"" />","null","html-keyboard-response","54","324384","0.0-2.0-0.52","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/lock.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/fight_prisonhostage.jpg"" style=""margin:20px"" />","null","html-keyboard-response","55","330386","0.0-2.0-0.53","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/puzzle.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/injury_selfinjury.jpg"" style=""margin:20px"" />","null","html-keyboard-response","56","336389","0.0-2.0-0.54","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/scarf.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/sad_womengrieving.JPG"" style=""margin:20px"" />","null","html-keyboard-response","57","342391","0.0-2.0-0.55","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/woolenhat.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/animals_dogfight.jpg"" style=""margin:20px"" />","null","html-keyboard-response","58","348393","0.0-2.0-0.56","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/handbag.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/drugs_alcoholics.JPG"" style=""margin:20px"" />","null","html-keyboard-response","59","354395","0.0-2.0-0.57","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/belt.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/drugs_overdosepills.jpg"" style=""margin:20px"" />","null","html-keyboard-response","60","360398","0.0-2.0-0.58","anr94szkyb","0","","","","","",""
"null","<img src=""osf_files/Objects/cellphone.jpg"" style=""margin:20px"" /><img src=""osf_files/Scenes/death_takingpic.jpg"" style=""margin:20px"" />","null","html-keyboard-response","61","366400","0.0-2.0-0.59","anr94szkyb","0","","","","","",""
"4220.000000000058","<p>You will be tested on how well you remember the pairings that you just saw. Please answer the questions to the best of your ability.</p><p>Press the spacebar to continue.</p>","32","html-keyboard-response","62","370621","0.0-3.0","anr94szkyb","0","","","","","",""
"","","","call-function","63","370622","0.0-4.0-0.0-0.0","anr94szkyb","0","0","","","","",""
"4178","osf_files/Objects/puzzle.jpg","","image-button-response","64","374804","0.0-4.0-0.0-1.0","anr94szkyb","0","","0","true","","",""
"null","osf_files/Scenes/injury_selfinjury.jpg","null","image-keyboard-response","65","377307","0.0-4.0-0.0-2.0","anr94szkyb","0","","","","","",""
"","","","call-function","66","377307","0.0-4.0-0.0-0.1","anr94szkyb","0","2","","","","",""
"2352","osf_files/Objects/framedpicture.jpg","","image-button-response","67","379661","0.0-4.0-0.0-1.1","anr94szkyb","0","","2","true","","",""
"null","osf_files/Scenes/fight_manguns.jpg","null","image-keyboard-response","68","382163","0.0-4.0-0.0-2.1","anr94szkyb","0","","","","","",""
"","","","call-function","69","382164","0.0-4.0-0.0-0.2","anr94szkyb","0","0","","","","",""
"1965","osf_files/Objects/duct.jpg","","image-button-response","70","384131","0.0-4.0-0.0-1.2","anr94szkyb","0","","0","true","","",""
"null","osf_files/Scenes/death_corpsestape.jpg","null","image-keyboard-response","71","386632","0.0-4.0-0.0-2.2","anr94szkyb","0","","","","","",""
"","","","call-function","72","386633","0.0-4.0-0.0-0.3","anr94szkyb","0","0","","","","",""
"4844","osf_files/Objects/microphone.jpg","","image-button-response","73","391478","0.0-4.0-0.0-1.3","anr94szkyb","0","","0","true","","",""
"null","osf_files/Scenes/accident_sportscar.jpg","null","image-keyboard-response","74","393980","0.0-4.0-0.0-2.3","anr94szkyb","0","","","","","",""
"","","","call-function","75","393980","0.0-4.0-0.0-0.4","anr94szkyb","0","2","","","","",""
"3201","osf_files/Objects/skateboard.jpg","","image-button-response","76","397183","0.0-4.0-0.0-1.4","anr94szkyb","0","","2","true","","",""
"null","osf_files/Scenes/fight_kidsfight.jpg","null","image-keyboard-response","77","399685","0.0-4.0-0.0-2.4","anr94szkyb","0","","","","","",""
"","","","call-function","78","399686","0.0-4.0-0.0-0.5","anr94szkyb","0","1","","","","",""
"4780.000000000058","osf_files/Objects/socks.jpg","","image-button-response","79","404467","0.0-4.0-0.0-1.5","anr94szkyb","0","","1","true","","",""
"null","osf_files/Scenes/injury_babyfire.jpg","null","image-keyboard-response","80","406970","0.0-4.0-0.0-2.5","anr94szkyb","0","","","","","",""
"","","","call-function","81","406970","0.0-4.0-0.0-0.6","anr94szkyb","0","2","","","","",""
"3788.999999999942","osf_files/Objects/laundrybasket2.jpg","","image-button-response","82","410762","0.0-4.0-0.0-1.6","anr94szkyb","0","","2","true","","",""
"null","osf_files/Scenes/fight_riot.jpg","null","image-keyboard-response","83","413264","0.0-4.0-0.0-2.6","anr94szkyb","0","","","","","",""
"","","","call-function","84","413265","0.0-4.0-0.0-0.7","anr94szkyb","0","0","","","","",""
"5191","osf_files/Objects/garbagebag.jpg","","image-button-response","85","418458","0.0-4.0-0.0-1.7","anr94szkyb","0","","0","true","","",""
"null","osf_files/Scenes/war_skulls.jpg","null","image-keyboard-response","86","420960","0.0-4.0-0.0-2.7","anr94szkyb","0","","","","","",""
"","","","call-function","87","420961","0.0-4.0-0.0-0.8","anr94szkyb","0","1","","","","",""
"3424","osf_files/Objects/axe.jpg","","image-button-response","88","424387","0.0-4.0-0.0-1.8","anr94szkyb","0","","1","true","","",""
"null","osf_files/Scenes/animals_whale.jpg","null","image-keyboard-response","89","426889","0.0-4.0-0.0-2.8","anr94szkyb","0","","","","","",""
"","","","call-function","90","426890","0.0-4.0-0.0-0.9","anr94szkyb","0","1","","","","",""
"3672","osf_files/Objects/star2.jpg","","image-button-response","91","430564","0.0-4.0-0.0-1.9","anr94szkyb","0","","1","true","","",""
"null","osf_files/Scenes/fight_manbeatingwoman2.jpg","null","image-keyboard-response","92","433066","0.0-4.0-0.0-2.9","anr94szkyb","0","","","","","",""
"","","","call-function","93","433067","0.0-4.0-0.0-0.10","anr94szkyb","0","1","","","","",""
"2304.000000000058","osf_files/Objects/sneakers.jpg","","image-button-response","94","435371","0.0-4.0-0.0-1.10","anr94szkyb","0","","1","true","","",""
"null","osf_files/Scenes/fight_gang.JPG","null","image-keyboard-response","95","437872","0.0-4.0-0.0-2.10","anr94szkyb","0","","","","","",""
"","","","call-function","96","437872","0.0-4.0-0.0-0.11","anr94szkyb","0","2","","","","",""
"3730","osf_files/Objects/bike.jpg","","image-button-response","97","441604","0.0-4.0-0.0-1.11","anr94szkyb","0","","2","true","","",""
"null","osf_files/Scenes/animals_leopard.jpg","null","image-keyboard-response","98","444106","0.0-4.0-0.0-2.11","anr94szkyb","0","","","","","",""
"","","","call-function","99","444107","0.0-4.0-0.0-0.12","anr94szkyb","0","0","","","","",""
"3918","osf_files/Objects/broom.jpg","","image-button-response","100","448027","0.0-4.0-0.0-1.12","anr94szkyb","0","","0","true","","",""
"null","osf_files/Scenes/fight_prisoncell.jpg","null","image-keyboard-response","101","450529","0.0-4.0-0.0-2.12","anr94szkyb","0","","","","","",""
"","","","call-function","102","450530","0.0-4.0-0.0-0.13","anr94szkyb","0","0","","","","",""
"3791","osf_files/Objects/boot.jpg","","image-button-response","103","454322","0.0-4.0-0.0-1.13","anr94szkyb","0","","0","true","","",""
"null","osf_files/Scenes/accident_horse.jpg","null","image-keyboard-response","104","456825","0.0-4.0-0.0-2.13","anr94szkyb","0","","","","","",""
"","","","call-function","105","456825","0.0-4.0-0.0-0.14","anr94szkyb","0","0","","","","",""
"1493.0000000000582","osf_files/Objects/belt.jpg","","image-button-response","106","458319","0.0-4.0-0.0-1.14","anr94szkyb","0","","0","true","","",""
"null","osf_files/Scenes/drugs_overdosepills.jpg","null","image-keyboard-response","107","460820","0.0-4.0-0.0-2.14","anr94szkyb","0","","","","","",""
"","","","call-function","108","460821","0.0-4.0-0.0-0.15","anr94szkyb","0","0","","","","",""
"1975","osf_files/Objects/hanger.jpg","","image-button-response","109","462797","0.0-4.0-0.0-1.15","anr94szkyb","0","","0","true","","",""
"null","osf_files/Scenes/fight_policestorming.jpg","null","image-keyboard-response","110","465299","0.0-4.0-0.0-2.15","anr94szkyb","0","","","","","",""
"","","","call-function","111","465299","0.0-4.0-0.0-0.16","anr94szkyb","0","0","","","","",""
"4614.999999999942","osf_files/Objects/brick.jpg","","image-button-response","112","469915","0.0-4.0-0.0-1.16","anr94szkyb","0","","0","true","","",""
"null","osf_files/Scenes/war_capture.jpg","null","image-keyboard-response","113","472417","0.0-4.0-0.0-2.16","anr94szkyb","0","","","","","",""
"","","","call-function","114","472417","0.0-4.0-0.0-0.17","anr94szkyb","0","2","","","","",""
"2603","osf_files/Objects/ring.jpg","","image-button-response","115","475022","0.0-4.0-0.0-1.17","anr94szkyb","0","","2","true","","",""
"null","osf_files/Scenes/injury_bandage.jpg","null","image-keyboard-response","116","477524","0.0-4.0-0.0-2.17","anr94szkyb","0","","","","","",""
"","","","call-function","117","477525","0.0-4.0-0.0-0.18","anr94szkyb","0","2","","","","",""
"4632.999999999942","osf_files/Objects/cellphone.jpg","","image-button-response","118","482159","0.0-4.0-0.0-1.18","anr94szkyb","0","","2","true","","",""
"null","osf_files/Scenes/death_takingpic.jpg","null","image-keyboard-response","119","484661","0.0-4.0-0.0-2.18","anr94szkyb","0","","","","","",""
"","","","call-function","120","484662","0.0-4.0-0.0-0.19","anr94szkyb","0","0","","","","",""
"6153.999999999942","osf_files/Objects/rockingchair.jpg","","image-button-response","121","490817","0.0-4.0-0.0-1.19","anr94szkyb","0","","0","true","","",""
"null","osf_files/Scenes/disaster_fire.jpg","null","image-keyboard-response","122","493320","0.0-4.0-0.0-2.19","anr94szkyb","0","","","","","",""
"","","","call-function","123","493320","0.0-4.0-0.0-0.20","anr94szkyb","0","0","","","","",""
"1616.0000000000582","osf_files/Objects/lighter.jpg","","image-button-response","124","494938","0.0-4.0-0.0-1.20","anr94szkyb","0","","0","true","","",""
"null","osf_files/Scenes/injury_brokenleg.jpg","null","image-keyboard-response","125","497440","0.0-4.0-0.0-2.20","anr94szkyb","0","","","","","",""
"","","","call-function","126","497441","0.0-4.0-0.0-0.21","anr94szkyb","0","1","","","","",""
"1798","osf_files/Objects/woolenhat.jpg","","image-button-response","127","499240","0.0-4.0-0.0-1.21","anr94szkyb","0","","1","true","","",""
"null","osf_files/Scenes/animals_dogfight.jpg","null","image-keyboard-response","128","501742","0.0-4.0-0.0-2.21","anr94szkyb","0","","","","","",""
"","","","call-function","129","501743","0.0-4.0-0.0-0.22","anr94szkyb","0","2","","","","",""
"2190","osf_files/Objects/tv.jpg","","image-button-response","130","503934","0.0-4.0-0.0-1.22","anr94szkyb","0","","2","true","","",""
"null","osf_files/Scenes/sad_mantv.JPG","null","image-keyboard-response","131","506435","0.0-4.0-0.0-2.22","anr94szkyb","0","","","","","",""
"","","","call-function","132","506436","0.0-4.0-0.0-0.23","anr94szkyb","0","2","","","","",""
"4055","osf_files/Objects/garbagebin.jpg","","image-button-response","133","510492","0.0-4.0-0.0-1.23","anr94szkyb","0","","2","true","","",""
"null","osf_files/Scenes/fight_demolish.jpg","null","image-keyboard-response","134","512994","0.0-4.0-0.0-2.23","anr94szkyb","0","","","","","",""
"","","","call-function","135","512994","0.0-4.0-0.0-0.24","anr94szkyb","0","1","","","","",""
"1342","osf_files/Objects/bowl.jpg","","image-button-response","136","514338","0.0-4.0-0.0-1.24","anr94szkyb","0","","1","true","","",""
"null","osf_files/Scenes/hospital_baby.jpg","null","image-keyboard-response","137","516840","0.0-4.0-0.0-2.24","anr94szkyb","0","","","","","",""
"","","","call-function","138","516841","0.0-4.0-0.0-0.25","anr94szkyb","0","2","","","","",""
"3992.999999999942","osf_files/Objects/trafficsign.jpg","","image-button-response","139","520835","0.0-4.0-0.0-1.25","anr94szkyb","0","","2","true","","",""
"null","osf_files/Scenes/death_hungbridge.jpg","null","image-keyboard-response","140","523337","0.0-4.0-0.0-2.25","anr94szkyb","0","","","","","",""
"","","","call-function","141","523337","0.0-4.0-0.0-0.26","anr94szkyb","0","0","","","","",""
"3172","osf_files/Objects/vase.jpg","","image-button-response","142","526510","0.0-4.0-0.0-1.26","anr94szkyb","0","","0","true","","",""
"null","osf_files/Scenes/sad_childgrave.jpg","null","image-keyboard-response","143","529013","0.0-4.0-0.0-2.26","anr94szkyb","0","","","","","",""
"","","","call-function","144","529013","0.0-4.0-0.0-0.27","anr94szkyb","0","1","","","","",""
"1335.0000000001164","osf_files/Objects/dress.jpg","","image-button-response","145","530349","0.0-4.0-0.0-1.27","anr94szkyb","0","","1","true","","",""
"null","osf_files/Scenes/death_woman.jpg","null","image-keyboard-response","146","532851","0.0-4.0-0.0-2.27","anr94szkyb","0","","","","","",""
"","","","call-function","147","532851","0.0-4.0-0.0-0.28","anr94szkyb","0","2","","","","",""
"3082","osf_files/Objects/redflag.jpg","","image-button-response","148","535934","0.0-4.0-0.0-1.28","anr94szkyb","0","","2","true","","",""
"null","osf_files/Scenes/injury_doctors.JPG","null","image-keyboard-response","149","538437","0.0-4.0-0.0-2.28","anr94szkyb","0","","","","","",""
"","","","call-function","150","538437","0.0-4.0-0.0-0.29","anr94szkyb","0","1","","","","",""
"1990","osf_files/Objects/juice.jpg","","image-button-response","151","540428","0.0-4.0-0.0-1.29","anr94szkyb","0","","1","true","","",""
"null","osf_files/Scenes/sad_boycrying.jpg","null","image-keyboard-response","152","542931","0.0-4.0-0.0-2.29","anr94szkyb","0","","","","","",""
"","","","call-function","153","542931","0.0-4.0-0.0-0.30","anr94szkyb","0","2","","","","",""
"3068.9999999998836","osf_files/Objects/rug.jpg","","image-button-response","154","546001","0.0-4.0-0.0-1.30","anr94szkyb","0","","2","true","","",""
"null","osf_files/Scenes/death_policecorpse.jpg","null","image-keyboard-response","155","548504","0.0-4.0-0.0-2.30","anr94szkyb","0","","","","","",""
"","","","call-function","156","548505","0.0-4.0-0.0-0.31","anr94szkyb","0","0","","","","",""
"2811","osf_files/Objects/hat.jpg","","image-button-response","157","551317","0.0-4.0-0.0-1.31","anr94szkyb","0","","0","true","","",""
"null","osf_files/Scenes/death_burrial.JPG","null","image-keyboard-response","158","553819","0.0-4.0-0.0-2.31","anr94szkyb","0","","","","","",""
