stimulus,trial_type,group,response,scene,gist,score_identification,score_details,score_gist
osf_files/Objects/basket.jpg,survey-text-timed,1,"""I don't remember.""",death_ditch,"boys (people, children, etc. OK too) + dead",0,0,0
osf_files/Objects/basket.jpg,survey-text-timed,1,"""It is in the land near with the person. """,death_ditch,"boys (people, children, etc. OK too) + dead",0,2,0
osf_files/Objects/basket.jpg,survey-text-timed,3,"""a baby shot laying on ground""",death_ditch,"boys (people, children, etc. OK too) + dead",0,3,0
osf_files/Objects/basket.jpg,survey-text-timed,5,"""Two dead in a field. A wicker basket next to them. Looks like Vietnam war.""",death_ditch,"boys (people, children, etc. OK too) + dead",1,5,1
osf_files/Objects/basket.jpg,survey-text-timed,5,"""I don't remember anything from this scene.""",death_ditch,"boys (people, children, etc. OK too) + dead",0,0,0
osf_files/Objects/basket.jpg,survey-text-timed,3,"""There was a woman and a little girl, and they were sitting outside, and they had baskets beside them.""",death_ditch,"boys (people, children, etc. OK too) + dead",0,1,0
osf_files/Objects/basket.jpg,survey-text-timed,1,"""I can't remember""",death_ditch,"boys (people, children, etc. OK too) + dead",0,0,0
osf_files/Objects/basket.jpg,survey-text-timed,3,"""""",death_ditch,"boys (people, children, etc. OK too) + dead",0,0,0
osf_files/Objects/basket.jpg,survey-text-timed,2,"""There were kids in this picture and a basket at the top.  I can't remember everything for some reason, but I think the kids were either hurt or dead, """,death_ditch,"boys (people, children, etc. OK too) + dead",1,3,1
osf_files/Objects/basket.jpg,survey-text-timed,0,"""""",death_ditch,"boys (people, children, etc. OK too) + dead",0,0,0
osf_files/Objects/basket.jpg,survey-text-timed,2,"""Basket was in d""",death_ditch,"boys (people, children, etc. OK too) + dead",0,1,0
osf_files/Objects/belt.jpg,survey-text-timed,5,"""A guy on the floor with pills""",drugs_overdosepills,overdose + pills,0,2,0
osf_files/Objects/belt.jpg,survey-text-timed,1,"""I think this was the lady who overdosed. She wa""",drugs_overdosepills,overdose + pills,1,2,0
osf_files/Objects/belt.jpg,survey-text-timed,1,"""Lady fall on the floor""",drugs_overdosepills,overdose + pills,0,2,0
osf_files/Objects/belt.jpg,survey-text-timed,3,"""""",drugs_overdosepills,overdose + pills,0,0,0
osf_files/Objects/belt.jpg,survey-text-timed,0,"""A woman that was overdosing on the floor. """,drugs_overdosepills,overdose + pills,1,3,0
osf_files/Objects/belt.jpg,survey-text-timed,1,"""Woman lying on the floor pills and spittle coming out of her mouth""",drugs_overdosepills,overdose + pills,1,4,1
osf_files/Objects/belt.jpg,survey-text-timed,5,"""a person on the floor passed out with drugs around her.""",drugs_overdosepills,overdose + pills,1,4,1
osf_files/Objects/belt.jpg,survey-text-timed,1,"""I person that is laying on the ground with foam coming out of their mouth. They have overdosed """,drugs_overdosepills,overdose + pills,1,4,0
osf_files/Objects/belt.jpg,survey-text-timed,2,"""There was a woman who looked like she had od'ed.  She was laying on the floor and it looked as if she had vomited.  She was unconscious or perhaps dead.  She had a belt on""",drugs_overdosepills,overdose + pills,1,6,0
osf_files/Objects/belt.jpg,survey-text-timed,2,"""Suicide a girl with ta""",drugs_overdosepills,overdose + pills,0,2,0
osf_files/Objects/belt.jpg,survey-text-timed,3,"""A man was sitting on the floor, shooting up drugs with a needle""",drugs_overdosepills,overdose + pills,0,0,0
osf_files/Objects/belt.jpg,survey-text-timed,5,"""person on floor in bathroom""",drugs_overdosepills,overdose + pills,0,3,0
osf_files/Objects/belt.jpg,survey-text-timed,5,"""A person laying prone of drug over dose. Possibly female.""",drugs_overdosepills,overdose + pills,1,3,0
osf_files/Objects/belt.jpg,survey-text-timed,3,"""man with syringe\n""",drugs_overdosepills,overdose + pills,0,0,0
osf_files/Objects/bench.jpg,survey-text-timed,1,"""Room scenes""",accident_planecrash2,plane + accident/crash,0,0,0
osf_files/Objects/bench.jpg,survey-text-timed,1,"""This one had an airplane that crashed and it look""",accident_planecrash2,plane + accident/crash,1,2,1
osf_files/Objects/bench.jpg,survey-text-timed,5,"""The back half of a large plane from a crash. In front of the plane there was a wooden """,accident_planecrash2,plane + accident/crash,1,4,1
osf_files/Objects/bench.jpg,survey-text-timed,1,"""Airplane crash into a house.  The plane or the house was blue.""",accident_planecrash2,plane + accident/crash,1,4,1
osf_files/Objects/bench.jpg,survey-text-timed,5,"""An airplane crashed in a rural setting. One bench was near that seemed undamaged. """,accident_planecrash2,plane + accident/crash,1,5,1
osf_files/Objects/bench.jpg,survey-text-timed,5,"""A plane crash and wreckage""",accident_planecrash2,plane + accident/crash,1,2,1
osf_files/Objects/bench.jpg,survey-text-timed,3,"""An airplane had crashed into someone's house""",accident_planecrash2,plane + accident/crash,1,3,1
osf_files/Objects/bench.jpg,survey-text-timed,2,"""Aeroplan accident place""",accident_planecrash2,plane + accident/crash,1,2,1
osf_files/Objects/bench.jpg,survey-text-timed,2,"""There was a plane that crashed on what looked like a trailer home.  The plane was blue, I think.  There was a bench out front in the picture in front of the plane, untouched in the wreck""",accident_planecrash2,plane + accident/crash,1,6,1
osf_files/Objects/bench.jpg,survey-text-timed,5,"""I don't remember.""",accident_planecrash2,plane + accident/crash,0,0,0
osf_files/Objects/bench.jpg,survey-text-timed,3,"""a plane near the cha""",accident_planecrash2,plane + accident/crash,0,1,0
osf_files/Objects/bench.jpg,survey-text-timed,0,"""A plane crash""",accident_planecrash2,plane + accident/crash,1,2,1
osf_files/Objects/bench.jpg,survey-text-timed,3,"""a plane that had crashed and was open""",accident_planecrash2,plane + accident/crash,1,2,1
osf_files/Objects/bench.jpg,survey-text-timed,1,"""It stand in a wreck of an airplane. """,accident_planecrash2,plane + accident/crash,1,2,1
osf_files/Objects/bike.jpg,survey-text-timed,1,"""I forget which one this was for.""",animals_leopard,leopard (similar animals OK too) + man,0,0,0
osf_files/Objects/bike.jpg,survey-text-timed,5,"""A man with his scalp partially torn off being attacked by an animal.""",animals_leopard,leopard (similar animals OK too) + man,1,3,1
osf_files/Objects/bike.jpg,survey-text-timed,5,"""A lion attacking a man""",animals_leopard,leopard (similar animals OK too) + man,1,3,1
osf_files/Objects/bike.jpg,survey-text-timed,1,"""Nothing""",animals_leopard,leopard (similar animals OK too) + man,0,0,0
osf_files/Objects/bike.jpg,survey-text-timed,2,"""There was a bike at the bottom of the picture.  I don't remember that much about the picture itself unfortunately, not sure why.  I know there was something distressful and I remember""",animals_leopard,leopard (similar animals OK too) + man,0,2,0
osf_files/Objects/bike.jpg,survey-text-timed,5,"""I don't remember.""",animals_leopard,leopard (similar animals OK too) + man,0,0,0
osf_files/Objects/bike.jpg,survey-text-timed,1,"""Cycle driving.""",animals_leopard,leopard (similar animals OK too) + man,0,1,0
osf_files/Objects/bike.jpg,survey-text-timed,2,"""disaster situ""",animals_leopard,leopard (similar animals OK too) + man,0,0,0
osf_files/Objects/bike.jpg,survey-text-timed,3,"""a man leaning over near a tiger""",animals_leopard,leopard (similar animals OK too) + man,1,2,1
osf_files/Objects/bike.jpg,survey-text-timed,3,"""a man near this cycle""",animals_leopard,leopard (similar animals OK too) + man,0,2,0
osf_files/Objects/bike.jpg,survey-text-timed,3,"""I can't remember this one""",animals_leopard,leopard (similar animals OK too) + man,0,0,0
osf_files/Objects/bike.jpg,survey-text-timed,0,"""A fight between two people in a garage""",animals_leopard,leopard (similar animals OK too) + man,0,0,0
osf_files/Objects/bike.jpg,survey-text-timed,1,"""Jaguar clawing a mans scalp off.""",animals_leopard,leopard (similar animals OK too) + man,1,3,1
osf_files/Objects/bike.jpg,survey-text-timed,5,"""A bike in front of some type of disaster. I don't really remember. You could see a bike. There may have been a riot or war or something.""",animals_leopard,leopard (similar animals OK too) + man,0,1,0
osf_files/Objects/bottle.jpg,survey-text-timed,1,"""Dirty toilet""",dirt_toilet,toilet,1,2,1
osf_files/Objects/bottle.jpg,survey-text-timed,3,"""a toilet filled with poop""",dirt_toilet,toilet,1,2,1
osf_files/Objects/bottle.jpg,survey-text-timed,5,"""A toilet full of shit""",dirt_toilet,toilet,1,2,1
osf_files/Objects/bottle.jpg,survey-text-timed,1,"""I don't remember this one.""",dirt_toilet,toilet,0,0,0
osf_files/Objects/bottle.jpg,survey-text-timed,1,"""A dirty toilet with alcohol bottles lying on the floor around it.""",dirt_toilet,toilet,1,4,1
osf_files/Objects/bottle.jpg,survey-text-timed,1,"""Toilet """,dirt_toilet,toilet,1,1,1
osf_files/Objects/bottle.jpg,survey-text-timed,2,"""bathroom take place useless one""",dirt_toilet,toilet,0,1,0
osf_files/Objects/bottle.jpg,survey-text-timed,5,"""I don't remember anything from this scene.""",dirt_toilet,toilet,0,0,0
osf_files/Objects/bottle.jpg,survey-text-timed,5,"""a messy toilet bowl""",dirt_toilet,toilet,1,1,1
osf_files/Objects/bottle.jpg,survey-text-timed,3,"""There was a nasty, dirty toilet with green water inside it. Surrounding the toilet was trash and bottles, and was really dirty. """,dirt_toilet,toilet,1,5,1
osf_files/Objects/bottle.jpg,survey-text-timed,0,"""A couple of drunk men""",dirt_toilet,toilet,0,0,0
osf_files/Objects/bottle.jpg,survey-text-timed,2,"""There was a very, very dirty toilet with nastiness inside.  There was a whiskey bottle to the side of the toilet, empty. """,dirt_toilet,toilet,1,5,1
osf_files/Objects/bottle.jpg,survey-text-timed,3,"""""",dirt_toilet,toilet,0,0,0
osf_files/Objects/bottle.jpg,survey-text-timed,5,"""A toilet filled with bodily fluids.""",dirt_toilet,toilet,1,2,1
osf_files/Objects/bowl.jpg,survey-text-timed,2,"""baby take bath in it""",hospital_baby,baby + bowl,1,3,1
osf_files/Objects/bowl.jpg,survey-text-timed,1,"""a baby in a bowl that was hooked up to something""",hospital_baby,baby + bowl,1,3,1
osf_files/Objects/bowl.jpg,survey-text-timed,5,"""A baby in a bowl with water in it""",hospital_baby,baby + bowl,1,3,1
osf_files/Objects/bowl.jpg,survey-text-timed,5,"""There was an extremely small baby being washed in a bowl.""",hospital_baby,baby + bowl,1,3,1
osf_files/Objects/bowl.jpg,survey-text-timed,5,"""A baby in a bowl""",hospital_baby,baby + bowl,1,4,1
osf_files/Objects/bowl.jpg,survey-text-timed,1,"""""",hospital_baby,baby + bowl,0,2,0
osf_files/Objects/bowl.jpg,survey-text-timed,5,"""A baby, possibly born pre-mature, was being cleaned in a bowl. """,hospital_baby,baby + bowl,1,0,1
osf_files/Objects/bowl.jpg,survey-text-timed,3,"""child sitting in this bowl""",hospital_baby,baby + bowl,1,4,1
osf_files/Objects/bowl.jpg,survey-text-timed,3,"""A baby was sitting in a bathtub, and had a medical device on his nose. He appeared to b""",hospital_baby,baby + bowl,1,3,1
osf_files/Objects/bowl.jpg,survey-text-timed,1,"""premature baby with tubes in his nose being bathed in a bowl""",hospital_baby,baby + bowl,1,6,1
osf_files/Objects/bowl.jpg,survey-text-timed,2,"""There was what looked like a preemie baby in a red bowl.  It looked like the baby was being washed.  """,hospital_baby,baby + bowl,1,4,1
osf_files/Objects/bowl.jpg,survey-text-timed,1,"""Premature baby being cleaned. """,hospital_baby,baby + bowl,1,3,1
osf_files/Objects/bowl.jpg,survey-text-timed,0,"""""",hospital_baby,baby + bowl,0,0,0
osf_files/Objects/bowl.jpg,survey-text-timed,3,"""a small baby """,hospital_baby,baby + bowl,0,2,0
osf_files/Objects/brick.jpg,survey-text-timed,1,"""I forget what this was for.""",war_capture,wall + people + guns,0,0,0
osf_files/Objects/brick.jpg,survey-text-timed,5,"""There were people against a wall, and the bricks were yellow or tan colored.""",war_capture,wall + people + guns,1,3,0
osf_files/Objects/brick.jpg,survey-text-timed,2,"""There was a brick or block wall and people were all lined up there.  """,war_capture,wall + people + guns,1,3,0
osf_files/Objects/brick.jpg,survey-text-timed,2,"""A man shotted """,war_capture,wall + people + guns,0,1,0
osf_files/Objects/brick.jpg,survey-text-timed,5,"""A firing wall with men in handcuffs""",war_capture,wall + people + guns,1,4,1
osf_files/Objects/brick.jpg,survey-text-timed,1,"""Men lined up against a wall.  A policeman standing off to the side""",war_capture,wall + people + guns,1,4,0
osf_files/Objects/brick.jpg,survey-text-timed,5,"""I group of people lined up along a brick wall. Hands bound behind them. 2 armed men.""",war_capture,wall + people + guns,1,7,1
osf_files/Objects/brick.jpg,survey-text-timed,5,"""Men facing a brick wall. """,war_capture,wall + people + guns,1,3,0
osf_files/Objects/brick.jpg,survey-text-timed,1,"""Building Dismantle.""",war_capture,wall + people + guns,0,0,0
osf_files/Objects/brick.jpg,survey-text-timed,0,"""People standing by a brick wall""",war_capture,wall + people + guns,1,2,0
osf_files/Objects/brick.jpg,survey-text-timed,3,"""prisoners being led around jail""",war_capture,wall + people + guns,0,1,0
osf_files/Objects/brick.jpg,survey-text-timed,3,"""a brick wall near this stone""",war_capture,wall + people + guns,0,1,0
osf_files/Objects/brick.jpg,survey-text-timed,1,"""men standing face into a wall.""",war_capture,wall + people + guns,1,4,0
osf_files/Objects/brick.jpg,survey-text-timed,3,"""There were a bunch of people with handcuffs standing and facing the wall. There was a guard with a gun next to them.""",war_capture,wall + people + guns,1,7,1
osf_files/Objects/broom.jpg,survey-text-timed,1,"""washed.""",fight_prisoncell,prison/dirty room (anything along these lines works),0,0,0
osf_files/Objects/broom.jpg,survey-text-timed,3,"""near the toilet setup room""",fight_prisoncell,prison/dirty room (anything along these lines works),0,2,0
osf_files/Objects/broom.jpg,survey-text-timed,3,"""a prison cell""",fight_prisoncell,prison/dirty room (anything along these lines works),1,1,1
osf_files/Objects/broom.jpg,survey-text-timed,1,"""Dirty jail cell.""",fight_prisoncell,prison/dirty room (anything along these lines works),1,2,1
osf_files/Objects/broom.jpg,survey-text-timed,2,"""There was a prison cell.  There was a piece of a broom in the background.  It was odd because I think the broom was broken, I t""",fight_prisoncell,prison/dirty room (anything along these lines works),1,4,1
osf_files/Objects/broom.jpg,survey-text-timed,1,"""I don't remember.""",fight_prisoncell,prison/dirty room (anything along these lines works),0,0,0
osf_files/Objects/broom.jpg,survey-text-timed,5,"""A bed in a bathroom""",fight_prisoncell,prison/dirty room (anything along these lines works),1,2,0
osf_files/Objects/broom.jpg,survey-text-timed,5,"""A dirty prison cell with broom near sink.""",fight_prisoncell,prison/dirty room (anything along these lines works),1,4,1
osf_files/Objects/broom.jpg,survey-text-timed,3,"""This was associated with a dirty, unclean looking jail cell.""",fight_prisoncell,prison/dirty room (anything along these lines works),1,2,1
osf_files/Objects/broom.jpg,survey-text-timed,0,"""""",fight_prisoncell,prison/dirty room (anything along these lines works),0,0,0
osf_files/Objects/broom.jpg,survey-text-timed,1,"""Nothing""",fight_prisoncell,prison/dirty room (anything along these lines works),0,0,0
osf_files/Objects/broom.jpg,survey-text-timed,5,"""A dirty bathroom. In the back against the wall, there was a broken broom.""",fight_prisoncell,prison/dirty room (anything along these lines works),1,6,1
osf_files/Objects/broom.jpg,survey-text-timed,2,"""It was in he room""",fight_prisoncell,prison/dirty room (anything along these lines works),0,0,0
osf_files/Objects/broom.jpg,survey-text-timed,5,"""I don't remember.""",fight_prisoncell,prison/dirty room (anything along these lines works),0,0,0
osf_files/Objects/camcorder.jpg,survey-text-timed,1,"""I can't remember""",hospital_camera,hospital + leg amputation + filming,0,0,0
osf_files/Objects/camcorder.jpg,survey-text-timed,5,"""Man in a hospital bed missing a leg""",hospital_camera,hospital + leg amputation + filming,1,4,0
osf_files/Objects/camcorder.jpg,survey-text-timed,3,"""a man with one leg cut at the knee and bandaged up""",hospital_camera,hospital + leg amputation + filming,1,4,0
osf_files/Objects/camcorder.jpg,survey-text-timed,2,"""Hospital shooting a patient""",hospital_camera,hospital + leg amputation + filming,1,3,0
osf_files/Objects/camcorder.jpg,survey-text-timed,1,"""a guy taking a video of someone""",hospital_camera,hospital + leg amputation + filming,0,3,0
osf_files/Objects/camcorder.jpg,survey-text-timed,5,"""A man recording someone on a hospital bed hurt and bandanged\n""",hospital_camera,hospital + leg amputation + filming,1,6,1
osf_files/Objects/camcorder.jpg,survey-text-timed,1,"""Hospital room with video recorder""",hospital_camera,hospital + leg amputation + filming,1,2,0
osf_files/Objects/camcorder.jpg,survey-text-timed,1,"""A man lying in a hospital bed with the lower part of his right leg gone. Another man holding a camera and ap""",hospital_camera,hospital + leg amputation + filming,1,9,1
osf_files/Objects/camcorder.jpg,survey-text-timed,5,"""I don't remember anything from this scene.""",hospital_camera,hospital + leg amputation + filming,0,0,0
osf_files/Objects/camcorder.jpg,survey-text-timed,3,"""There was someone in a hospital, with doctors surrounding him and one of them was carrying a video camera.""",hospital_camera,hospital + leg amputation + filming,1,3,0
osf_files/Objects/camcorder.jpg,survey-text-timed,0,"""a man filming a surgery. """,hospital_camera,hospital + leg amputation + filming,1,2,0
osf_files/Objects/camcorder.jpg,survey-text-timed,5,"""Injured man in hospital bed. Missing a leg. Another person with a camera pointing at man in bed.""",hospital_camera,hospital + leg amputation + filming,1,8,1
osf_files/Objects/camcorder.jpg,survey-text-timed,3,"""a man shoot with this camera.\n""",hospital_camera,hospital + leg amputation + filming,0,3,0
osf_files/Objects/camcorder.jpg,survey-text-timed,2,"""There was a man in a hospital bed who had a leg removed at the knee, I think.  Somebody was taking a video of him. """,hospital_camera,hospital + leg amputation + filming,1,7,1
osf_files/Objects/carton.jpg,survey-text-timed,1,"""Shop""",dirt_garbage,women + garbage,0,0,0
osf_files/Objects/carton.jpg,survey-text-timed,5,"""There was a woman and child walking in a city. On the sidewalk there were a lot of trash bags and garbage.""",dirt_garbage,women + garbage,1,7,1
osf_files/Objects/carton.jpg,survey-text-timed,2,"""Waste putting place on road side""",dirt_garbage,women + garbage,1,2,0
osf_files/Objects/carton.jpg,survey-text-timed,5,"""A woman walks along side trash with her child. They are wearing masks. She is carrying the child's toy.""",dirt_garbage,women + garbage,1,5,1
osf_files/Objects/carton.jpg,survey-text-timed,1,"""filled with waste """,dirt_garbage,women + garbage,1,1,0
osf_files/Objects/carton.jpg,survey-text-timed,5,"""A bunch of trash""",dirt_garbage,women + garbage,1,1,0
osf_files/Objects/carton.jpg,survey-text-timed,1,"""Nothing""",dirt_garbage,women + garbage,0,0,0
osf_files/Objects/carton.jpg,survey-text-timed,3,"""There was a girl bleeding and I think she was """,dirt_garbage,women + garbage,0,0,0
osf_files/Objects/carton.jpg,survey-text-timed,0,"""A woman and a girl walking by a street with a lot of trash""",dirt_garbage,women + garbage,1,5,0
osf_files/Objects/carton.jpg,survey-text-timed,1,"""Woman with two children walking by a bunch of trash.""",dirt_garbage,women + garbage,1,4,0
osf_files/Objects/carton.jpg,survey-text-timed,2,"""There was a messy scene with trash.  There were boxes and trash, a white box for sure.  """,dirt_garbage,women + garbage,1,4,0
osf_files/Objects/carton.jpg,survey-text-timed,3,"""lot of garbage items.\n""",dirt_garbage,women + garbage,1,1,0
osf_files/Objects/carton.jpg,survey-text-timed,3,"""firemen putting out a fi""",dirt_garbage,women + garbage,0,0,0
osf_files/Objects/carton.jpg,survey-text-timed,5,"""A woman and child surrounded by garbae""",dirt_garbage,women + garbage,1,3,1
osf_files/Objects/cellphone.jpg,survey-text-timed,3,"""a man shot on the street and a person standing near them with phone""",death_takingpic,body + photo,1,4,1
osf_files/Objects/cellphone.jpg,survey-text-timed,1,"""man taking a photo with his cell phone of a dead person.""",death_takingpic,body + photo,1,4,1
osf_files/Objects/cellphone.jpg,survey-text-timed,5,"""Racing accident""",death_takingpic,body + photo,0,0,0
osf_files/Objects/cellphone.jpg,survey-text-timed,2,"""A man shooting a man died place""",death_takingpic,body + photo,1,4,1
osf_files/Objects/cellphone.jpg,survey-text-timed,2,"""There was a man taking a picture of a boy on the ground with a flip phone.  The boy was obviously dead. """,death_takingpic,body + photo,1,6,1
osf_files/Objects/cellphone.jpg,survey-text-timed,1,"""a guy was taking a picture of someone lying on the ground""",death_takingpic,body + photo,1,5,0
osf_files/Objects/cellphone.jpg,survey-text-timed,5,"""A person on the ground, maybe dead. Another person taking a picture with a cell phone.""",death_takingpic,body + photo,1,6,1
osf_files/Objects/cellphone.jpg,survey-text-timed,1,"""Mobile""",death_takingpic,body + photo,0,1,0
osf_files/Objects/cellphone.jpg,survey-text-timed,3,"""There was a man laying on the ground, bleeding, who appeared to be dead or badly hurt. A man was standing by him, with a camera faced towards the guy on the ground.""",death_takingpic,body + photo,1,7,1
osf_files/Objects/cellphone.jpg,survey-text-timed,5,"""A shirtless dead man laying prone. Another man takes pictures with his phone.""",death_takingpic,body + photo,1,7,1
osf_files/Objects/cellphone.jpg,survey-text-timed,5,"""a man taking a picture of his phone of a man on the ground""",death_takingpic,body + photo,1,5,0
osf_files/Objects/cellphone.jpg,survey-text-timed,3,"""near the dead body""",death_takingpic,body + photo,0,1,0
osf_files/Objects/cellphone.jpg,survey-text-timed,0,"""a man on the ground and another one taking a picture of him. The other man seems dead. """,death_takingpic,body + photo,1,5,1
osf_files/Objects/cellphone.jpg,survey-text-timed,1,"""Nothing""",death_takingpic,body + photo,0,0,0
osf_files/Objects/cigarette.jpg,survey-text-timed,5,"""A woman with a black eye was holding a cigarette.""",injury_beatenup,beaten/black eye (anything along these lines works),1,3,1
osf_files/Objects/cigarette.jpg,survey-text-timed,1,"""a lady was smoking a cigarette """,injury_beatenup,beaten/black eye (anything along these lines works),1,2,0
osf_files/Objects/cigarette.jpg,survey-text-timed,1,"""Woman who has been severely beat up is smoking. """,injury_beatenup,beaten/black eye (anything along these lines works),1,3,1
osf_files/Objects/cigarette.jpg,survey-text-timed,3,"""a woman smoking a cigarette with a black eye """,injury_beatenup,beaten/black eye (anything along these lines works),1,3,1
osf_files/Objects/cigarette.jpg,survey-text-timed,2,"""There was a person with a cigarette.  I can't remember much for some reason...I think the person was injured""",injury_beatenup,beaten/black eye (anything along these lines works),1,2,0
osf_files/Objects/cigarette.jpg,survey-text-timed,5,"""Can't remember""",injury_beatenup,beaten/black eye (anything along these lines works),0,0,0
osf_files/Objects/cigarette.jpg,survey-text-timed,2,"""A lady used it with some mark in her face""",injury_beatenup,beaten/black eye (anything along these lines works),1,4,1
osf_files/Objects/cigarette.jpg,survey-text-timed,1,"""Nothing""",injury_beatenup,beaten/black eye (anything along these lines works),0,0,0
osf_files/Objects/cigarette.jpg,survey-text-timed,3,"""a guy smoke this cigarette""",injury_beatenup,beaten/black eye (anything along these lines works),1,1,0
osf_files/Objects/cigarette.jpg,survey-text-timed,5,"""A woman smoking with a black eye""",injury_beatenup,beaten/black eye (anything along these lines works),1,3,1
osf_files/Objects/cigarette.jpg,survey-text-timed,0,"""a woman or man really sad, with a cigarette on his or her hand. The woman or man is wearing a yellow hoodie. """,injury_beatenup,beaten/black eye (anything along these lines works),1,3,0
osf_files/Objects/cigarette.jpg,survey-text-timed,5,"""""",injury_beatenup,beaten/black eye (anything along these lines works),0,0,0
osf_files/Objects/cigarette.jpg,survey-text-timed,1,"""Lady holding cigarette in hand""",injury_beatenup,beaten/black eye (anything along these lines works),1,2,0
osf_files/Objects/cigarette.jpg,survey-text-timed,3,"""There was a girl, bleeding and sitting on the ground, and smoking a cigarette. She appeared kind of dirty and like she's unwell.""",injury_beatenup,beaten/black eye (anything along these lines works),1,4,1
osf_files/Objects/clock.jpg,survey-text-timed,3,"""""",injury_thin,"woman, thin",0,0,0
osf_files/Objects/clock.jpg,survey-text-timed,2,"""There was a bedroom, I think, and I can't remember everything.  I know there was a small clock in the picture. """,injury_thin,"woman, thin",0,2,0
osf_files/Objects/clock.jpg,survey-text-timed,1,"""very skinny woman laying on a bed""",injury_thin,"woman, thin",1,4,1
osf_files/Objects/clock.jpg,survey-text-timed,5,"""A very thin woman in bed.""",injury_thin,"woman, thin",1,3,1
osf_files/Objects/clock.jpg,survey-text-timed,3,"""an anorexic woman laying on a bed""",injury_thin,"woman, thin",1,4,1
osf_files/Objects/clock.jpg,survey-text-timed,5,"""A really skinny girl""",injury_thin,"woman, thin",1,2,1
osf_files/Objects/clock.jpg,survey-text-timed,5,"""a woman on a bed sleeping or dead in front of a window""",injury_thin,"woman, thin",1,4,0
osf_files/Objects/clock.jpg,survey-text-timed,1,"""Watch in the Wall. """,injury_thin,"woman, thin",0,1,0
osf_files/Objects/clock.jpg,survey-text-timed,1,"""Nothing""",injury_thin,"woman, thin",0,0,0
osf_files/Objects/clock.jpg,survey-text-timed,5,"""Clock in background. I think there was one injured person on the bed.""",injury_thin,"woman, thin",1,4,0
osf_files/Objects/clock.jpg,survey-text-timed,2,"""A sick lady's room it was on the tablle""",injury_thin,"woman, thin",0,3,0
osf_files/Objects/clock.jpg,survey-text-timed,3,"""There was a girl, who appeared to be anorexic, laying in bed with her shirt up showing her skinny stomach.""",injury_thin,"woman, thin",1,6,1
osf_files/Objects/clock.jpg,survey-text-timed,1,"""a lady laying on a bed looking very sickly""",injury_thin,"woman, thin",1,4,0
osf_files/Objects/clock.jpg,survey-text-timed,0,"""a really skinny woman laying on a bed. """,injury_thin,"woman, thin",1,4,1
osf_files/Objects/comb.jpg,survey-text-timed,5,"""Men surrounding a man covered in sand""",disaster_dust,"digging/dirt, bodies",1,2,1
osf_files/Objects/comb.jpg,survey-text-timed,5,"""a woman getting pulled out of dirt""",disaster_dust,"digging/dirt, bodies",1,3,1
osf_files/Objects/comb.jpg,survey-text-timed,5,"""A buried person and red soil. People digging them up. A hair comb near by in """,disaster_dust,"digging/dirt, bodies",1,5,1
osf_files/Objects/comb.jpg,survey-text-timed,1,"""""",disaster_dust,"digging/dirt, bodies",0,0,0
